date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,8,5.9,9.2,6.4,,224,31.2,61,1000,
2024-01-02,10.3,6.7,12.3,18.9,,197,36,97,987.7,
2024-01-03,9.7,8.2,11,9.6,,249,32.6,94,987.7,
2024-01-04,7.5,6.5,8.8,6,,273,11.1,29,1000.4,
2024-01-05,7.1,5.6,8.7,8.5,,89,16.1,37,996.4,
2024-01-06,3.8,1.5,5,0,,10,17.4,37,1011.2,
2024-01-07,0.7,-0.4,1.5,0,,52,23.6,50,1024.9,
2024-01-08,-0.7,-2,0.2,0,,63,28.7,54,1032.8,
2024-01-09,-2.2,-4.1,-0.4,0,,65,29,50,1034,
2024-01-10,-1.8,-3.7,0.2,0,,62,20.9,40,1031.1,
2024-01-11,-0.2,-5,5,0,,13,7.7,32,1034.4,
2024-01-12,4.1,2.2,5.9,0,,330,7.5,36,1033.1,
2024-01-13,4.6,3.2,6.1,1.3,,266,18.5,40,1022.5,
2024-01-14,4.5,2.4,6.4,3.6,,276,18.6,43,1009.2,
2024-01-15,2.4,0.9,4.2,2.6,,302,21.6,65,1003.2,
2024-01-16,1.1,-0.4,3.2,3,,234,17.8,43,1006.6,
2024-01-17,-0.7,-2,0.6,0,,188,11.9,33.3,993.6,
2024-01-18,-0.5,-3.7,3.6,0.1,,305,6.9,25,1001.5,
2024-01-19,1.7,-1.5,4.8,0.6,,245,17.1,43,1018.4,
2024-01-20,0.5,-0.8,2.2,0,,199,24,40,1025.8,
2024-01-21,3.3,-0.3,7.3,0.3,,188,32.1,68,1016.2,
2024-01-22,9.7,7.8,11.9,1.2,,230,46.1,86,1005.6,
2024-01-23,8.2,6.3,12.1,5.6,,231,35.8,86,1018.4,
2024-01-24,10.2,8.7,12.7,0,,249,44.4,97,1018.2,
2024-01-25,6.8,2.9,10,2,,215,16.1,43,1026.6,
2024-01-26,8.5,3.3,11.5,3.7,,253,30.7,68,1024.1,
2024-01-27,3.9,1,8.2,0,,205,15.5,29.6,1034.4,
2024-01-28,4,0.4,8.8,0,,151,15.5,29,1027.6,
2024-01-29,6,2.4,10.4,0,,170,14.1,26,1025,
2024-01-30,7.8,4.3,10.8,0.9,,221,20.1,61,1026.6,
2024-01-31,6.6,5,8.8,0,,229,21.2,58,1030.3,
2024-02-01,6.5,4.1,9.2,3.2,,274,20.3,61,1029.2,
2024-02-02,7.8,5.6,9.3,0,,236,27.3,54,1026.8,
