date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,6.8,5.7,8.6,2.3,,210,24.6,51.8,1001.6,
2024-01-02,9.7,6.2,12,20.4,,193,26.4,79.6,990,
2024-01-03,9,7.6,10.2,6.9,,238,27.9,75.9,988.5,
2024-01-04,7,5.5,8.7,5.3,,231,9.6,29.6,1000.8,
2024-01-05,6.6,5.6,8,9.6,,189,17.7,40.8,997.3,
2024-01-06,2.2,0.2,5.2,0.1,,350,13.4,27.8,1010.2,
2024-01-07,-0.7,-2.7,0.2,0,,37,18.2,40.8,1024.3,
2024-01-08,-2.4,-4.4,-0.4,0,,47,21.6,42.6,1032.4,
2024-01-09,-4,-6.5,-0.7,0,,58,20.3,37,1034.1,
2024-01-10,-3.8,-6.2,0,0,,63,14.4,29.6,1031,
2024-01-11,-3.7,-9,0,0,,2,5.4,18.5,1034.2,
2024-01-12,1.7,-0.2,4.2,0,,291,4.9,16.7,1032.9,
2024-01-13,2.7,2,3.2,0,,246,14.6,31.5,1022.6,
2024-01-14,2.1,1.2,3,2.8,,238,18,33.3,1009.4,
2024-01-15,0.5,-0.9,1.5,1.9,,255,14.6,37,1002.9,
2024-01-16,-0.3,-2.7,1.2,0.5,,217,14.6,29.6,1007.4,
2024-01-17,-2.2,-3.7,-0.4,0,,181,7.7,27.8,994,
2024-01-18,-3.4,-9,3.1,0,,333,4.2,20.4,1001.2,
2024-01-19,-0.5,-3.5,3.7,0,,223,12.9,29.6,1019,
2024-01-20,-0.9,-2.2,1.2,0,,199,17,35.2,1027.1,
2024-01-21,2.5,-1,6.5,0,,182,25.7,55.5,1018.7,
2024-01-22,9,5.7,11.2,6.6,,224,33,70.4,1007.3,
2024-01-23,7.2,4.2,10.7,5,,224,24.4,59.3,1019.7,
2024-01-24,10.1,7.1,12.6,1.3,,247,31.4,66.7,1018.8,
2024-01-25,5.4,-0.7,9.2,0.3,,205,10.2,25.9,1027.3,
2024-01-26,7.6,1,11.1,3.3,,243,21.5,53.7,1024.5,
2024-01-27,2.3,-0.5,7.2,0,,192,8.6,24.1,1035.1,
2024-01-28,4,-0.5,9.1,0,,133,11.1,25.9,1028.8,
2024-01-29,6.6,3.5,11,0,,172,10.2,24.1,1026.1,
2024-01-30,8.1,6.1,11.2,1.8,,213,16.7,40.8,1027.3,
2024-01-31,5.6,3.5,7,0,,221,14,50,1031.2,
2024-02-01,5.6,1.5,8.7,5.8,,265,12.6,44.5,1029.1,
2024-02-02,6.8,4.2,8.7,0,,236,21.6,42.6,1027.5,
2024-02-03,9.6,8.7,10.5,0.7,,243,19.8,37,1024.7,
2024-02-04,9.9,8.5,11,3.7,,254,22.1,50,1020.8,
2024-02-05,9.5,8,10.7,0,,242,28.2,55.5,1017.8,
2024-02-06,10.3,8.7,11.7,6.1,,234,32.3,63,1008.5,
2024-02-07,3.8,-1.1,7,14.1,,327,6.2,48.2,1005.2,
2024-02-08,1.7,-1.5,4.5,10.6,,80,9.9,35.2,998.4,
2024-02-09,10.1,5.7,12.1,11.9,,177,14.9,37,984.9,
2024-02-10,10.3,9,12.5,1.1,,130,10.1,24.1,986.7,
2024-02-11,8.4,5.6,9.6,2.4,,163,9.9,25.9,990.2,
2024-02-12,6,1.5,9.2,0.8,,244,10.8,27.8,1003.6,
2024-02-13,5.6,1.5,9.2,0.5,,197,15.2,35.2,1015.5,
2024-02-14,10.2,7.1,12,4.9,,212,21.8,40.8,1014.5,
2024-02-15,12.3,11.5,14.1,3,,176,14.7,33.3,1013.8,
2024-02-16,11.4,9.1,13.1,2,,215,13.7,33.3,1013.4,
2024-02-17,9.6,7.7,11.7,0.2,,227,7.4,22.2,1029.5,
2024-02-18,9.1,8,10.2,19.7,,205,21.8,44.5,1024.7,
2024-02-19,8.5,6.5,10.2,0.9,,264,15.5,38.9,1025.8,
2024-02-20,7,3.7,10.7,0.3,,225,15.3,38.9,1026.2,
2024-02-21,8.7,8.1,10.2,7.7,,199,21.3,44.5,1012.8,
2024-02-22,9.9,6.1,12.2,6.4,,196,24.8,66.7,987.9,
2024-02-23,5.8,4,8.1,3.2,,198,24,57.4,990.2,
2024-02-24,4.5,3,5.7,1.2,,179,14,37,997.9,
2024-02-25,5.8,2.6,8.7,2.5,,161,13.2,29.6,1000.4,
2024-02-26,4.5,4,5.6,4.9,,34,24.8,42.6,1005.6,
2024-02-27,3.3,1,8,0,,61,13.7,33.3,1018.3,
2024-02-28,4.2,0.2,8.1,0,,175,10.7,25.9,1020.2,
2024-02-29,7.3,5.5,8.7,5,,169,17.3,35.2,1009.8,
2024-03-01,8.3,6.1,10.1,0.7,,170,20.4,44.5,1001.4,
2024-03-02,9.7,6,13,0.2,,155,20.3,40.8,1000,
2024-03-03,10.8,6.5,16.5,0,,73,10.1,29.6,1001.2,
2024-03-04,7.3,1.7,10.7,0,,332,10.5,24.1,1010.8,
2024-03-05,5.8,1,8.6,0.6,,119,4.8,14.8,1014.5,
2024-03-06,5.8,0.2,11,0,,101,6.2,16.7,1022.5,
2024-03-07,4.5,1.6,7.6,0,,69,14.9,35.2,1023.8,
2024-03-08,4.7,0.1,9.5,0,,86,17.3,44.5,1013.3,
2024-03-09,7.2,2.5,12.5,0,,95,14.7,35.2,1002.4,
2024-03-10,8.7,5.2,12.2,0,,68,17.6,37,997.4,
