date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,7.4,6.5,9,2.6,,207,21,48.2,1002.5,
2024-01-02,10.7,7,12.6,20.7,,202,26,64.8,990.3,
2024-01-03,9.9,7.8,11.9,7.5,,233,22.5,61.1,990.3,
2024-01-04,8.1,5.9,9.2,3.7,,229,11.9,33.3,1001.4,
2024-01-05,7.5,5.8,9.4,5.2,,204,18.2,48.2,997.3,
2024-01-06,4.1,1.4,6.8,0.4,,348,14.9,29.6,1010.8,
2024-01-07,0.1,-2.7,1.7,0,,35,19.1,37,1023.7,
2024-01-08,-2,-3.5,-0.2,0,,52,21.9,40.8,1031.5,
2024-01-09,-3.4,-5.6,0,0,,61,19.6,37,1032.5,
2024-01-10,-4.3,-7.1,-0.2,0,,55,11.4,25.9,1030.2,
2024-01-11,-3.4,-7.8,0.4,0,,354,9,16.7,1034.3,
2024-01-12,2.6,0.5,4.3,0.1,,285,4.9,14.8,1033.4,
2024-01-13,2.9,2.3,3.6,0.2,,242,9.9,27.8,1024,
2024-01-14,1.4,0.7,2.6,4.4,,231,13.2,29.6,1011.2,
2024-01-15,0.9,0.2,2.2,7.8,,262,14.4,38.9,1005.1,
2024-01-16,-0.5,-4.4,1.8,0.6,,211,10.6,24.1,1008.3,
2024-01-17,-2.6,-4.9,-0.6,0,,118,7.4,20.4,994,
2024-01-18,-2.1,-7,3.2,0.5,,282,6.3,24.1,1001.9,
2024-01-19,-0.3,-2.7,3.8,0.3,,222,10.1,24.1,1020.2,
2024-01-20,-1.3,-2.7,0.2,0,,193,14.6,27.8,1027.7,
2024-01-21,2.8,-1.2,7.6,0.1,,187,25.1,61.1,1018.8,
2024-01-22,10,8.2,12,6,,231,32.3,68.5,1008.8,
2024-01-23,8,4.8,12.7,3.1,,224,21.6,51.8,1021.1,
2024-01-24,11,8.7,13.6,1.4,,248,25.4,57.4,1021,
2024-01-25,7,3.2,10.1,0.9,,208,10.7,24.1,1027.8,
2024-01-26,8.4,1.9,11.7,3.7,,238,20.5,51.8,1025.9,
2024-01-27,2.5,-1,7.7,0,,194,8.3,22.2,1035.4,
2024-01-28,3.4,-2.8,11.3,0,,142,8.8,24.1,1028.1,
2024-01-29,6.8,2.8,11.3,0,,183,10.4,22.2,1025.9,
2024-01-30,8.5,6.6,11.6,0.4,,218,13.4,35.2,1028,
2024-01-31,6.7,5.4,8.1,0,,222,11.3,35.2,1031.7,
2024-02-01,6.8,3.4,9.6,6.1,,264,12.3,33.3,1030.3,
2024-02-02,7.9,4.7,11.1,0,,232,15.5,37,1028.8,
2024-02-03,10.5,9.7,11.1,3,,247,16.7,35.2,1026.3,
2024-02-04,11.1,10,12.5,2.8,,251,22.7,44.5,1022.5,
2024-02-05,10.1,8.4,11.8,0.1,,239,24.9,48.2,1019.6,
2024-02-06,11,9.3,12.6,2.9,,227,24.9,51.8,1010.2,
2024-02-07,5.2,0.3,11,20.6,,57,9.9,46.3,1005.1,
2024-02-08,4.2,-0.5,10.9,16.7,,107,10.7,27.8,997.3,
2024-02-09,11.1,9.9,13.4,8.5,,183,17.1,38.9,984.2,
2024-02-10,10.8,9,13.2,1.8,,138,10.6,22.2,985.8,
2024-02-11,8.8,7.4,9.9,9.8,,208,8,24.1,990.1,
2024-02-12,6.7,3.3,9.9,0.2,,234,9.3,27.8,1004.2,
2024-02-13,6.2,2.5,10.4,2.2,,197,15,38.9,1015.6,
