date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,6.9,5.2,8.4,17.4,0,216,23.5,50,998.9,
2024-01-02,8.7,4.9,11,23.7,0,177,20.4,68.5,988.8,
2024-01-03,8.4,6.8,10.1,0.4,0,252,30.8,81.5,984.6,
2024-01-04,3.9,1.6,6.4,0,,346,10.9,33.3,1000.4,
2024-01-05,3.1,2.1,4.8,11.4,,77,18.2,37,998.7,
2024-01-06,0.7,-0.6,1.6,0.9,0,37,16.2,37,1010.9,
2024-01-07,-0.6,-1.7,0.5,0.1,,57,21.3,40.8,1026.1,
2024-01-08,-1.4,-2.6,0.1,0,0,60,22.8,42.6,1034.6,
2024-01-09,-3.7,-6,-1,0,0,64,17.2,33.3,1036.8,
2024-01-10,-4,-6.2,-1.2,0,,59,15.3,25.9,1033.2,
2024-01-11,-2,-8.7,1.6,0,,263,5.8,16.7,1033.7,
2024-01-12,2.6,-0.5,4.7,0.5,,286,7.5,24.1,1031.5,
2024-01-13,3.8,2.5,5.4,2,0,256,16.7,35.2,1019.6,
2024-01-14,3.1,1.5,5.8,2.8,0,257,15.5,35.2,1006.1,
2024-01-15,1.4,0.3,3,4.8,10,269,17.3,40.8,999,
2024-01-16,-0.2,-3.6,1.4,0,10,227,17.5,35.2,1004.6,
2024-01-17,-1.3,-4.6,0.3,0,,222,14.5,38.9,992.9,
2024-01-18,-1.4,-6.5,3.3,3.4,0,263,9.4,22.2,999.8,
2024-01-19,0.5,-2.7,3.7,1.6,,239,20.2,38.9,1015.7,
2024-01-20,0.5,-1.3,2.1,0,10,214,23.3,38.9,1024,
2024-01-21,2.8,0.1,5.6,0,,193,28.6,61.1,1015.9,
2024-01-22,8.7,4.7,11.1,0,0,229,36.1,77.8,1003.3,
2024-01-23,7.2,5.9,10.5,5.1,,232,29.8,66.7,1015.8,
2024-01-24,9.8,7.4,11.9,0.7,,253,41.9,79.6,1013.9,
2024-01-25,6.2,3.2,7.9,0.2,,228,14.3,37,1025.3,
2024-01-26,7.9,3.9,11.1,4.5,0,245,26.1,63,1021.2,
2024-01-27,3.7,0.7,8.6,0,,225,14.7,31.5,1033.2,
2024-01-28,4.2,0.2,8.4,0,0,161,12.6,27.8,1028.4,
2024-01-29,6.1,2.5,8.5,0,,189,11.6,25.9,1025.1,
2024-01-30,7.4,4.4,10.5,0.9,0,215,18.6,44.5,1025.4,
2024-01-31,5.2,2,6.7,0.4,,226,21.1,53.7,1028.8,
2024-02-01,5.6,1.8,8.8,0.4,0,262,16.4,50,1026.7,
2024-02-02,7.3,4.8,9.3,0.2,,240,25.4,46.3,1024.1,
2024-02-03,9.6,6.3,11.8,0,,258,22.9,44.5,1021.4,
2024-02-04,8.1,5.2,11.1,1.9,,256,24.5,55.5,1017.4,
2024-02-05,9.4,8.7,11,0,,250,35,63,1013.5,
2024-02-06,9.5,4.9,11.4,9.8,0,243,37.9,66.7,1003.9,
2024-02-07,3.2,-3,7.1,0,0,280,9,35.2,1004.1,
2024-02-08,-0.3,-4,3.7,4.9,,110,9.2,42.6,999.5,
2024-02-09,6.9,0.3,12.1,2.6,0,142,16.1,40.8,984.9,
2024-02-10,10.1,8.3,12.5,0.3,0,129,11,25.9,987.3,
2024-02-11,8.3,7.2,9.4,0.4,0,144,11.7,29.6,990,
2024-02-12,6.5,3.6,9.7,0.9,0,242,12,31.5,1002,
2024-02-13,6.1,3.6,9.1,8.8,0,211,18.7,37,1013.6,
2024-02-14,9.8,6.3,11.4,10,,217,20,37,1012.3,
2024-02-15,12,11,12.8,1.2,,197,15.8,33.3,1012.7,
2024-02-16,10.7,7.4,13.4,1.3,0,219,16.8,37,1011.7,
2024-02-17,8.2,6.4,10,1.9,0,241,8.7,22.2,1028.7,
2024-02-18,8.9,7.6,10,15.1,,203,20.2,40.8,1022.4,
2024-02-19,8.3,7.1,10.1,2.1,0,270,17.1,38.9,1023.3,
2024-02-20,7.7,2.4,10.1,1.8,0,234,19.2,46.3,1023.8,
2024-02-21,8.9,8.3,9.6,4.3,,205,23.3,44.5,1010.8,
