date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,7.4,6.2,8.3,6.7,,222,28.2,,1000.8,
2024-01-02,10.5,7.1,12.6,23.8,,202,32.3,,988.4,
2024-01-03,8.9,7.8,10.1,5.8,,242,32.4,,988.9,
2024-01-04,7.5,6.3,8.8,8.5,,246,20.4,,1000.7,
2024-01-05,7.4,6.1,8.5,4.8,,229,19.4,,996.1,
2024-01-06,4.8,3,6.1,0,,8,15,,1011,
2024-01-07,0.4,-2.4,2.5,0,,36,21.8,,1024.5,
2024-01-08,-2.1,-3.6,-0.4,0,,51,26.9,,1032.4,
2024-01-09,-3.7,-5.5,-1.5,0,,60,27.5,,1033.3,
2024-01-10,-3.6,-5.4,-0.7,0,,50,16.5,,1030.9,
2024-01-11,-1,-5.6,3.5,0,,20,9,,1034.3,
2024-01-12,3.5,0.5,6.8,0,,347,7.4,,1033.4,
2024-01-13,5,4.1,5.7,0,,254,17.4,,1023.5,
2024-01-14,4.3,2.9,5.3,1.6,,244,22.1,,1010.3,
2024-01-15,2.6,1.7,4,2.4,,299,22.2,,1004.8,
2024-01-16,1,-2,3.1,0.3,,245,19.1,,1007.7,
2024-01-17,-1.5,-3,0.6,0,,126,9.9,,993.9,
2024-01-18,0.2,-2.5,4.7,0,,317,9,,1001.7,
2024-01-19,1.8,-0.6,4.8,0.2,,244,17.9,,1019.1,
2024-01-20,0,-1.1,1.8,0,,196,23.6,,1026.3,
2024-01-21,4.4,-0.8,8.8,0.5,,186,30.8,,1016.6,
2024-01-22,9.5,7.9,11.3,5.5,,227,38.6,,1007.6,
2024-01-23,7.9,5.5,11.2,4.9,,226,30.9,,1019.6,
2024-01-24,9.6,7.4,11.5,0.1,,245,34.5,,1019.9,
2024-01-25,6.7,3.1,9.8,0.4,,217,16.1,,1026.9,
2024-01-26,8.3,3.8,10.7,3.8,,248,28.5,,1024.9,
2024-01-27,3.6,1.3,7.4,0,,194,13.4,,1034.6,
2024-01-28,4.2,-0.1,9.9,0,,152,13.8,,1027.4,
2024-01-29,6.8,3.6,10.7,0,,184,15,,1025.4,
2024-01-30,8.2,6,10,0.3,,225,20.3,,1027.1,
2024-01-31,6.4,4.7,8.7,0.1,,224,19.7,,1030.9,
2024-02-01,6.5,4.3,9,5.6,,277,19.7,,1029.8,
2024-02-02,7.6,5.1,9.7,0,,232,29,,1028.4,
2024-02-03,9.6,9,11,3.1,,240,24.5,,1025.6,
2024-02-04,9.8,8.2,11.1,0.7,,247,29,,1022.2,
2024-02-05,8.8,7.4,9.7,0.1,,233,37.5,,1018.7,
2024-02-06,9.9,8.9,11.2,5.3,,231,46.1,,1008.9,
2024-02-07,5.2,1.1,9.5,14.4,,24,11.6,,1004.9,
2024-02-08,3.3,-0.5,8.8,14.3,,85,18.2,,997.3,
2024-02-09,10.7,9,13.7,6.5,,180,20.6,,983.1,
2024-02-10,9.8,7.5,12.7,2.1,,137,13.4,,985.6,
2024-02-11,8.4,6.2,10,2.3,,220,16.4,,989.8,
2024-02-12,6,4.5,8.4,0,,249,17.4,,1003.9,
2024-02-13,6.2,3.8,9,4.1,,202,21.8,,1014.6,
2024-02-14,10.7,8.6,11.7,5.1,,222,28.8,,1014.2,
2024-02-15,12.4,10,15,5.1,,175,17.6,,1012.8,
2024-02-16,10.6,8.1,12.6,0.9,,234,19.2,,1013.3,
2024-02-17,9.3,5.4,12.3,0.5,,235,12.2,,1029.4,
2024-02-18,9.2,8.3,10.3,16.2,,222,27.6,,1024.6,
2024-02-19,8.1,6.1,9.6,1,,269,21.2,,1026.6,
2024-02-20,8.4,5.6,10.7,0,,236,21.2,,1026.2,
2024-02-21,9.2,8.6,10.1,6.9,,199,27.6,,1011.6,
2024-02-22,9.9,5.2,14,12.9,,207,27.3,,986.6,
2024-02-23,5.7,3.7,8.1,6.5,,203,29.1,,988.4,
2024-02-24,4.3,2.2,7,2.8,,183,17.4,,996.6,
2024-02-25,5.9,3.8,8.9,0.4,,160,17,,999,
2024-02-26,5,3,7,6.4,,36,29.3,,1005.5,
2024-02-27,4.2,1.1,8.6,0,,357,13.8,,1018.6,
2024-02-28,6.8,3.9,10.1,0,,195,16.5,,1019.3,
2024-02-29,8.5,7.5,9.7,4.8,,176,20.7,,1007.6,
2024-03-01,7.5,4.2,9.3,3.2,,176,22.1,,999.3,
2024-03-02,8,3.8,11.7,1.1,,154,21.5,,998,
2024-03-03,8.5,5.6,11.9,0.5,,306,12.3,,1001,
2024-03-04,6.9,3.2,10.8,0.2,,312,9,,1011,
2024-03-05,5.1,1.4,9.5,1,,134,6.8,,1014,
2024-03-06,5.2,1.5,10.9,0,,147,7.5,,1021.8,
2024-03-07,6.2,3.1,9.7,0,,69,22.4,,1023,
2024-03-08,5.5,0.9,10.4,0,,85,28.5,,1011.9,
2024-03-09,8.9,5.1,13.9,0.5,,93,23.7,,1000.9,
2024-03-10,9.3,7,12.6,0,,74,18.3,,996.4,
2024-03-11,7.2,6,8.5,4.9,,332,8,,1002.1,
2024-03-12,8.4,6.9,10.9,3.6,,224,17.9,,1012.1,
2024-03-13,10.9,9.8,12.4,0.1,,227,23.9,,1013.9,
2024-03-14,12.1,7.8,16.6,0,,185,17.9,,1010.3,
2024-03-15,12,9.8,14.9,3.6,,219,29,,1006.5,
2024-03-16,8,3.7,9.8,0.4,,297,14.4,,1018.6,
2024-03-17,9.3,5.6,12.5,8.7,,151,15.5,,1018.9,
2024-03-18,10.4,7.2,13.3,0,,229,12.8,,1015.8,
2024-03-19,10.7,7.7,15.5,0,,209,14.2,,1017.5,
2024-03-20,11,6.1,17.5,3.2,,281,6.2,,1018.9,
2024-03-21,9.6,7.8,11.6,0,,281,13.8,,1023.5,
2024-03-22,9.4,7.3,10.5,4.3,,253,18.2,,1016.9,
2024-03-23,6.6,5.4,8.2,1.8,,262,23.4,,1008.9,
2024-03-24,6.7,4.9,8.7,13.1,,282,31.8,,1005.2,
2024-03-25,7,1.7,11.4,0,,159,15.8,,1004.7,
2024-03-26,9.4,4.1,14.8,0.2,,121,18.7,,991.2,
2024-03-27,9.5,6.9,12.3,0.4,,180,20,,985.5,
2024-03-28,8.7,6.3,12.1,3.2,,185,24.9,,985,
2024-03-29,10.4,7.8,14.3,1.3,,194,22.4,,992,
2024-03-30,8.6,4.7,10.6,3.5,,206,9.5,,996.8,
2024-03-31,9.6,4.2,16.6,12.9,,101,14.6,,996.5,
2024-04-01,9.3,6.5,12.8,0,,216,17.6,,995.5,
2024-04-02,9.5,6.8,12.1,2.4,,223,25.5,,1004.2,
2024-04-03,10.8,9.3,13.7,7,,201,25.7,,1003.5,
2024-04-04,11.4,9.1,13.7,14.7,,223,29.7,,1004.6,
2024-04-05,13.3,11.2,16.1,1.2,,207,23.1,,1007.7,
2024-04-06,16.8,12.6,23.4,0,,170,19.1,,1008.4,
2024-04-07,14.8,12.3,19,2.5,,221,22.5,,1011.5,
2024-04-08,13.8,9.1,18.5,0.8,,160,11.7,,1008.1,
2024-04-09,11.2,9.4,13.9,1.7,,216,32.3,,1007.4,
2024-04-10,10.7,7.1,13.7,0.7,,247,20.3,,1025.4,
2024-04-11,12.8,11.4,14.9,3.6,,219,22.2,,1029.5,
2024-04-12,14.7,11.4,17.9,0,,227,26,,1029.6,
