date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,7.4,6.4,9.1,10.3,0,214,20.1,48.2,1000.9,
2024-01-02,10.3,6.8,12.9,24,0,196,23.1,72.2,988.9,
2024-01-03,9.6,8,11,12.4,0,237,21.6,68.5,988.4,
2024-01-04,7.6,6,9.2,10.6,0,231,8.9,25.9,1000.6,
2024-01-05,7.1,5.1,9,5.5,0,191,14.1,35.2,996.6,
2024-01-06,3.3,0.7,5.1,0,0,1,14.1,27.8,1010.7,
2024-01-07,-0.1,-2,1.4,0,0,37,15.5,35.2,1024.5,
2024-01-08,-1.7,-3.2,0.5,0,0,49,18.8,38.9,1032.5,
2024-01-09,-3.1,-5.6,0.1,0,0,57,16.9,35.2,1033.8,
2024-01-10,-3.2,-6.2,1.1,0,0,52,12,27.8,1030.9,
2024-01-11,-2.3,-7.6,2.9,0,0,349,6,18.5,1034.3,
2024-01-12,3.3,1.3,5.3,0,0,318,5.7,14.8,1033,
2024-01-13,3.5,2.9,4.3,0.6,0,246,13,27.8,1022.7,
2024-01-14,2.8,1.6,3.6,2.9,0,240,14.4,29.6,1009.6,
2024-01-15,1.7,-0.2,3.2,4.3,10,270,11.7,33.3,1003.3,
2024-01-16,0.8,-1.2,3.3,0.8,0,225,12.7,27.8,1007.1,
2024-01-17,-1.5,-3.2,0,0,10,150,8.5,27.8,993.7,
2024-01-18,-1.8,-6.6,3.6,0,0,299,6.5,18.5,1001.4,
2024-01-19,1.6,-1.4,5.2,1.3,0,231,12.9,29.6,1018.8,
2024-01-20,-0.3,-1.6,2.3,0,0,195,16.9,33.3,1026.5,
2024-01-21,3.3,-1,9.2,0.2,0,182,22.5,55.5,1017.4,
2024-01-22,9.7,6,12,5,0,226,27.9,66.7,1006.8,
2024-01-23,8.2,5.5,13.4,4.9,0,228,21.9,63,1019.2,
2024-01-24,10.6,7.9,13.4,1.1,0,248,27.6,64.8,1018.9,
2024-01-25,6.9,2.2,10,1.5,0,214,10.9,25.9,1026.9,
2024-01-26,8.3,4,11.3,5.5,0,245,19.3,50,1024.5,
2024-01-27,4,-0.5,8.3,0,0,205,10.3,24.1,1034.7,
2024-01-28,3.7,-1.4,8.7,0,0,147,12.7,24.1,1028,
2024-01-29,6.4,1.7,11.1,0,0,170,9.7,20.4,1025.5,
2024-01-30,8,3.7,11.5,0.6,0,214,14.3,40.8,1027.1,
2024-01-31,6.5,4.3,8,3.5,0,221,14.1,42.6,1030.8,
2024-02-01,6.6,3.4,9.6,2,0,268,11.8,40.8,1029.3,
2024-02-02,7.5,5.5,9.2,0,0,232,19.1,38.9,1027.3,
2024-02-03,10.1,9,11.4,1.3,0,240,16.8,37,1024.7,
2024-02-04,10.6,9.1,11.6,0.1,0,252,19.4,46.3,1021,
2024-02-05,9.7,8.7,10.7,0.2,0,240,25.7,53.7,1017.9,
2024-02-06,10.8,5.5,12.3,14.8,0,233,29.7,59.3,1008.3,
2024-02-07,4.3,-0.2,7.2,2.6,0,5,5.5,42.6,1005.2,
2024-02-08,2.4,-0.2,8.1,12.2,0,76,9.3,35.2,997.8,
2024-02-09,10.7,8.1,12.9,6.1,0,174,14.8,35.2,983.9,
2024-02-10,10.3,8.9,12.2,0.5,0,132,9.3,20.4,986.1,
2024-02-11,8.8,6.1,10,2.9,0,191,8.6,24.1,989.9,
2024-02-12,6.9,3.9,10,0.1,0,244,10.9,25.9,1003.5,
2024-02-13,6.6,3.8,9.6,1.8,0,200,14.4,33.3,1014.8,
2024-02-14,11.1,8.1,12.7,8.1,0,221,18.5,37,1014,
2024-02-15,12.8,10.7,15.5,11,0,176,12.9,31.5,1013.1,
2024-02-16,10.9,9,13,3.2,0,220,12,29.6,1013.2,
2024-02-17,10.6,9.2,12.3,0,0,233,8.8,22.2,1029.4,
2024-02-18,9.5,8.5,10.9,14.2,0,212,19.6,37,1024.3,
2024-02-19,8.8,6.1,10.9,1.7,0,263,13.2,33.3,1026.1,
