date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,7.2,5.5,8.7,6.6,,212,19.2,,1000.8,
2024-01-02,9.5,6.2,12,19.6,,187,18.3,,989.7,
2024-01-03,9.3,8,10.5,7.5,,237,24.6,,987.1,
2024-01-04,6.1,4,7.7,0.7,,359,8.8,,1000.5,
2024-01-05,6.1,4.5,7.7,14.5,,133,11.3,,997.4,
2024-01-06,1.7,0.2,4.1,0,,2,10.2,,1009.8,
2024-01-07,-0.4,-2.2,0.7,0,,51,15.9,,1024.8,
2024-01-08,-1.8,-3.7,0.2,0,,52,15.6,,1033.2,
2024-01-09,-3.5,-6.2,-1,0,,63,15.3,,1035.2,
2024-01-10,-3.6,-5.6,0.2,0,,57,10.7,,1032.2,
2024-01-11,-3,-6.8,0.1,0,,350,4.5,,1033.9,
2024-01-12,1.9,-0.3,4.6,0,,283,5.4,,1032.2,
2024-01-13,3.2,2.2,4.2,0.2,,249,14,,1021.4,
2024-01-14,3,1.7,4,6.2,,242,16.2,,1008.1,
2024-01-15,1.2,0.5,3,0.3,,258,16.6,,1001.2,
2024-01-16,0.1,-0.7,1.7,0.3,,223,14.1,,1006.6,
2024-01-17,-1.5,-3.5,-0.5,0,,203,7.6,,994.1,
2024-01-18,-1.5,-5,3.1,0,,268,6.3,,1000.3,
2024-01-19,0.7,-2,4.3,0,,233,14.8,,1017.4,
2024-01-20,-0.1,-1.6,2.2,0,,204,15.3,,1026.1,
2024-01-21,2.9,-0.4,6.6,0,,190,19,,1017.9,
2024-01-22,9.3,7,12.1,7.4,,229,28,,1006.5,
2024-01-23,7.6,5.3,11.1,4.4,,231,23,,1018.4,
2024-01-24,10.6,8.2,13.1,1.5,,254,33.9,,1016.8,
2024-01-25,6.5,2.7,8.7,1.1,,222,11.3,,1026.6,
2024-01-26,8.2,3.8,11.1,4.8,,243,19.7,,1023.1,
2024-01-27,3.6,1.2,8.2,0,,209,10.2,,1034.4,
2024-01-28,4,0.2,8.6,0,,152,9.3,,1029,
2024-01-29,6.8,3.7,10.7,0,,182,8.7,,1026.1,
2024-01-30,8.2,6,11.6,0.1,,216,14.3,,1026.7,
2024-01-31,5.8,3.5,7.2,0,,223,13,,1030.4,
2024-02-01,6.1,3,8.6,5.1,,258,13.2,,1028,
2024-02-02,7.5,5.2,9.7,0,,235,19.7,,1026.7,
2024-02-03,10.3,9.5,11.7,1.9,,252,19.5,,1023.5,
2024-02-04,9.8,8,11.5,1.1,,259,20.7,,1019.6,
2024-02-05,10.1,8.7,11.6,0.3,,247,29.3,,1016.3,
2024-02-06,10.5,6.5,12.6,8,,237,30.4,,1006.8,
2024-02-07,4.2,0.2,6.2,9.5,,325,4.4,,1004.5,
2024-02-08,1.5,-0.2,4,8.4,,60,10.1,,999.1,
2024-02-09,8.9,2.2,12.2,17.7,,162,11.4,,984.9,
2024-02-10,9.7,7.1,13,0.7,,125,7.4,,987.1,
2024-02-11,8.9,7.7,10,1.4,,176,9.1,,989.8,
2024-02-12,6.9,3.2,9.6,1.2,,245,9.8,,1003,
2024-02-13,6.1,3.2,9.2,0.9,,203,12.5,,1014.9,
2024-02-14,10.3,7.5,12,6.4,,215,15.8,,1014,
2024-02-15,12.2,11.6,14,4.8,,188,11.2,,1013.8,
2024-02-16,11.5,9.6,13.6,0.8,,219,13.3,,1012.9,
2024-02-17,9.5,7.4,11.1,0.2,,243,6.8,,1029,
2024-02-18,9.1,8,10.7,19.2,,204,17,,1024,
2024-02-19,8.7,8,10.5,2.2,,265,15.1,,1024.5,
2024-02-20,7.8,5.1,10.7,1.5,,230,13.8,,1025.2,
2024-02-21,9.2,8.2,10.2,5.9,,200,16,,1012.2,
2024-02-22,10.2,7.1,12.6,6,,197,18.3,,987.2,
2024-02-23,6,4.5,8,2,,199,18.2,,989.1,
2024-02-24,4.8,3,6.6,3.1,,178,9.7,,997.7,
2024-02-25,5.8,3.2,8.7,1.7,,163,9.2,,1000.5,
2024-02-26,4.5,3.2,6,1.7,,40,16,,1006.6,
2024-02-27,2.8,1,5.5,0,,75,7.2,,1018.1,
2024-02-28,4.5,1.5,7.6,0,,184,9.3,,1019.8,
2024-02-29,7.3,5.6,9,3.5,,173,13.3,,1009.5,
2024-03-01,8.7,6.5,10.7,0,,167,13.7,,1001.4,
2024-03-02,9.7,6.7,13,0.1,,145,13.2,,1000.6,
2024-03-03,9.8,5.2,14.9,0,,73,8.9,,1001.6,
2024-03-04,7.2,4.6,8.2,0,,303,7.9,,1010.1,
2024-03-05,7.4,6.5,9.2,6.2,,94,5.1,,1014.2,
2024-03-06,6.6,3.1,10.2,0.9,,78,5.6,,1022.3,
2024-03-07,3.4,0.5,6.6,0,,63,12,,1024.6,
2024-03-08,4,0.1,9.2,0,,84,17.9,,1014.7,
2024-03-09,6.2,1.1,11.7,0,,89,16.3,,1003.9,
2024-03-10,8,5,11.5,0,,71,17.4,,998.2,
2024-03-11,7.1,6.1,8.1,3.8,,25,6.2,,1001.5,
2024-03-12,7.4,6.2,9.2,0.6,,206,9.6,,1011.8,
2024-03-13,10.1,6.7,12,0.6,,202,11.7,,1013.7,
2024-03-14,12.7,8.7,17,0,,189,12.1,,1011,
2024-03-15,13.1,11.5,15.2,4.7,,214,15.8,,1006.5,
2024-03-16,8.2,2.6,11.7,0.9,,284,12.8,,1017.2,
2024-03-17,7.2,0.5,12,0.8,,117,8.6,,1021,
2024-03-18,10.3,7,13.7,0.7,,209,7.1,,1015.9,
2024-03-19,10.8,6,16.5,0.1,,182,7.7,,1017.9,
2024-03-20,11.2,6,16.5,0,,347,2.8,,1019,
2024-03-21,9.2,7.5,10.6,1.7,,278,10.1,,1022.5,
2024-03-22,9.8,6.7,11.1,2.3,,242,13.1,,1015.9,
2024-03-23,5.7,3.7,8.7,3.8,,243,15.6,,1007.4,
2024-03-24,6.1,4.6,8.5,7.7,,259,21,,1001.8,
2024-03-25,6.6,3,11.6,0.1,,209,9.6,,1005.2,
2024-03-26,7.7,2.5,13.5,0,,118,12.7,,993.4,
2024-03-27,8.8,5.7,10.2,1.2,,169,11.7,,987,
2024-03-28,7.8,5.1,11.3,1.6,,183,18.3,,986.8,
2024-03-29,10.3,7.6,14.8,0.4,,187,19.7,,993.5,
2024-03-30,10.5,5.7,16.6,5.7,,186,13,,996.8,
2024-03-31,10.3,4.5,16.5,2.1,,83,12.2,,998.1,
2024-04-01,9.7,6.9,12.3,2.2,,212,11.9,,995.5,
2024-04-02,9.2,6.3,11.9,2.8,,227,18.6,,1004.2,
2024-04-03,10.4,8.5,13,6.2,,189,10.4,,1004.3,
2024-04-04,11.6,8.7,15.1,9.8,,220,18.7,,1004.6,
2024-04-05,13.4,11,17,4.1,,208,14.3,,1008.2,
2024-04-06,17.2,11,24.6,0,,168,11.1,,1009.9,
2024-04-07,17.5,13.7,21,1.8,,216,15.6,,1011.8,
2024-04-08,14.7,12.2,18.7,2.4,,145,7.5,,1009,
